ionIdx,ionMz,name,001 / NH24A 1898 BXD68 CD F,002 / NH24A 1898 BXD68 CD F,003 / NH24A 583 BXD79 HF F,004 / NH24A 583 BXD79 HF F,005 / NH24B 824 BXD79 CD F,006 / NH24B 824 BXD79 CD F,007 / NH24B 235 BXD60 CD F,008 / NH24B 235 BXD60 CD F,009 / NH24B 831 BXD79 CD F,010 / NH24B 831 BXD79 CD F,011 / NH24B 637 BXD84 CD F,012 / NH24B 637 BXD84 CD F,013 / NH24A 229 BXD102 CD F,014 / NH24A 229 BXD102 CD F,015 / NH24A 231 BXD102 CD F,016 / NH24A 231 BXD102 CD F,017 / NH24A Blank NA NA NA,018 / NH24A Blank NA NA NA,019 / NH24B 691 C57BL/6J ? F,020 / NH24B 691 C57BL/6J ? F,021 / NH24B 574 BXD69 HF F,022 / NH24B 574 BXD69 HF F,023 / NH24B 592 BXD69 CD F,024 / NH24B 592 BXD69 CD F,025 / NH24B 1898 BXD68 CD F,026 / NH24B 1898 BXD68 CD F,027 / NH24B 265 BXD73b CD F,028 / NH24B 265 BXD73b CD F,029 / NH24B 231 BXD102 CD F,030 / NH24B 231 BXD102 CD F,031 / NH24B Blank NA NA NA,032 / NH24B Blank NA NA NA,033 / NH24A Blank NA NA NA,034 / NH24A Blank NA NA NA,035 / NH24A Blank NA NA NA,036 / NH24A Blank NA NA NA,037 / NH24A 2127 BXD66 CD F,038 / NH24A 2127 BXD66 CD F,039 / NH24B 171 BXD60 CD F,040 / NH24B 171 BXD60 CD F,041 / NH24B 222 BXD66 CD F,042 / NH24B 222 BXD66 CD F,043 / NH24B 591 BXD69 CD F,044 / NH24B 591 BXD69 CD F,045 / NH24A 691 C57BL/6J ? F,046 / NH24A 691 C57BL/6J ? F,047 / NH24B 583 BXD79 HF F,048 / NH24B 583 BXD79 HF F,049 / NH24B 2127 BXD66 CD F,050 / NH24B 2127 BXD66 CD F,051 / NH24A 575 BXD69 HF F,052 / NH24A 575 BXD69 HF F,053 / NH24B Blank NA NA NA,054 / NH24B Blank NA NA NA,055 / NH24A 591 BXD69 CD F,056 / NH24A 591 BXD69 CD F,057 / NH24B Blank NA NA NA,058 / NH24B Blank NA NA NA,059 / NH24A 831 BXD79 CD F,060 / NH24A 831 BXD79 CD F,061 / NH24B 832 BXD79 CD F,062 / NH24B 832 BXD79 CD F,063 / NH24B 826 BXD79 CD F,064 / NH24B 826 BXD79 CD F,065 / NH24A 826 BXD79 CD F,066 / NH24A 826 BXD79 CD F,067 / NH24A 560 BXD84 HF F,068 / NH24A 560 BXD84 HF F,069 / NH24A 2142 BXD69 CD F,070 / NH24A 2142 BXD69 CD F,071 / NH24A 1899 BXD68 CD F,072 / NH24A 1899 BXD68 CD F,073 / NH24B 559 BXD84 HF F,074 / NH24B 559 BXD84 HF F,075 / NH24B 560 BXD84 HF F,076 / NH24B 560 BXD84 HF F,077 / NH24A Blank NA NA NA,078 / NH24A Blank NA NA NA,079 / NH24B 2142 BXD69 CD F,080 / NH24B 2142 BXD69 CD F,081 / NH24A 832 BXD79 CD F,082 / NH24A 832 BXD79 CD F,083 / NH24A 592 BXD69 CD F,084 / NH24A 592 BXD69 CD F,085 / NH24A 265 BXD73b CD F,086 / NH24A 265 BXD73b CD F,087 / NH24A 171 BXD60 CD F,088 / NH24A 171 BXD60 CD F,089 / NH24B 638 BXD84 CD F,090 / NH24B 638 BXD84 CD F,091 / NH24B Blank NA NA NA,092 / NH24B Blank NA NA NA,093 / NH24B 224 BXD66 CD F,094 / NH24B 224 BXD66 CD F,095 / NH24A 222 BXD66 CD F,096 / NH24A 222 BXD66 CD F,097 / NH24B 2128 BXD66 CD F,098 / NH24B 2128 BXD66 CD F,099 / NH24A 574 BXD69 HF F,100 / NH24A 574 BXD69 HF F,101 / NH24B 1899 BXD68 CD F,102 / NH24B 1899 BXD68 CD F,103 / NH24A 2128 BXD66 CD F,104 / NH24A 2128 BXD66 CD F,105 / NH24A 224 BXD66 CD F,106 / NH24A 224 BXD66 CD F,107 / NH24A 637 BXD84 CD F,108 / NH24A 637 BXD84 CD F,109 / NH24A Blank NA NA NA,110 / NH24A Blank NA NA NA,111 / NH24A 234 BXD60 CD F,112 / NH24A 234 BXD60 CD F,113 / NH24A 170 BXD60 CD F,114 / NH24A 170 BXD60 CD F,115 / NH24B 229 BXD102 CD F,116 / NH24B 229 BXD102 CD F,117 / NH24B 575 BXD69 HF F,118 / NH24B 575 BXD69 HF F,119 / NH24A 582 BXD79 HF F,120 / NH24A 582 BXD79 HF F,121 / NH24A 267 BXD73b CD F,122 / NH24A 267 BXD73b CD F,123 / NH24B 582 BXD79 HF F,124 / NH24B 582 BXD79 HF F,125 / NH24A 559 BXD84 HF F,126 / NH24A 559 BXD84 HF F,127 / NH24B Blank NA NA NA,128 / NH24B Blank NA NA NA,129 / NH24A 638 BXD84 CD F,130 / NH24A 638 BXD84 CD F,131 / NH24B 170 BXD60 CD F,132 / NH24B 170 BXD60 CD F,133 / NH24A Blank NA NA NA,134 / NH24A Blank NA NA NA,135 / NH24A 824 BXD79 CD F,136 / NH24A 824 BXD79 CD F,137 / NH24B 234 BXD60 CD F,138 / NH24B 234 BXD60 CD F,139 / NH24B Blank NA NA NA,140 / NH24B Blank NA NA NA,141 / NH24A 235 BXD60 CD F,142 / NH24A 235 BXD60 CD F,143 / NH24B 267 BXD73b CD F,144 / NH24B 267 BXD73b CD F
1,59.0137,Acetatic acid,13829,13753,14740,16495,12715,13052,15634,16157,10830,13093,15907,14092,15736,17811,19017,19870,3134,2613,13818,14546,14946,15979,20370,19091,13373,13340,15715,15637,19333,18741,4617,3696,2366,2327,2067,2532,16766,18374,6890,6572,12318,11109,18005,17281,14694,14806,14548,15931,17401,16681,21335,20633,5909,4770,18470,19188,2871,3624,11268,11572,16111,14865,17061,18795,20193,19543,23855,23258,19107,18630,17824,16877,20960,18336,22402,24071,4139,2372,20352,20356,15651,16258,20257,19015,15820,14344,7305,7626,13516,13459,4832,4489,12152,13057,11129,11084,23904,21569,15977,15318,17740,16568,23358,23106,13477,13123,15562,15674,3244,3358,16537,15355,19064,18812,20103,19577,18665,22009,18527,18098,15006,16006,17456,16699,18483,20134,3134,3152,13991,12538,19453,19007,4586,3834,13485,12726,15824,14715,4013,3468,15704,15075,3876,12907
2,68.9956,Propynoate,20856,22070,18405,19448,23486,22323,23069,21297,10118,10543,17937,21763,15246,17985,28387,30669,1573,789,12237,12564,18521,18844,28620,25548,21791,25278,8909,9087,32446,32755,1200,970,657,578,463,542,31078,29756,9105,9734,22739,24193,21583,21117,13619,13001,21675,18901,29380,31719,20536,19753,926,820,17265,19022,488,578,11303,12619,20162,21124,15124,18562,17674,18931,25005,23782,19481,18103,17666,17976,21648,20362,24039,25724,927,389,17973,18185,21721,22573,26536,28037,8947,8707,9222,9903,24314,20653,1142,841,23697,24315,22289,22408,26332,27558,18448,18046,17229,16741,25045,25669,24495,22569,20933,19823,766,669,20944,20124,20497,23961,18584,16772,22649,23729,15309,13874,12534,12993,13026,13972,21962,20751,1076,602,22211,22511,25222,23823,910,662,24842,22965,22876,19332,1309,987,24264,22955,1563,5786
3,71.0139,Propenoic acid C3:1,11451,11225,13095,13445,11418,11558,14470,15135,10520,10597,16792,17946,17893,18892,21194,21392,2701,1875,11272,11449,16043,14588,15043,15853,11881,12003,13540,12442,19265,20535,2246,1816,1142,811,684,1014,20137,21197,7632,8268,10335,10665,15617,15051,11327,11440,12991,12459,22580,22500,17960,18288,1242,1405,15671,15863,1175,1211,11073,9545,14680,15795,19708,17817,20018,17100,25405,24084,17064,18162,13843,14383,16272,15208,24470,26368,2583,1680,17805,17531,14904,14894,17305,17316,14418,14192,8353,7786,18355,18845,1882,2522,11796,12941,13300,11556,23023,23580,15092,13505,15443,15278,25875,22012,10284,11623,16226,18707,1600,1094,22798,22767,18039,19139,19438,19026,17522,17141,17082,16608,12956,13681,16169,18769,15714,16008,1669,1379,17892,18599,18050,18804,1744,1518,12483,11862,21200,21817,3082,1746,16534,14348,3691,12933
4,73.0294,C3:0 (Propionic acid),5523,5626,8643,9717,13421,12407,14662,15374,9214,9028,14774,13508,13109,13045,11431,13419,3326,2114,9120,10522,12444,13240,12025,12074,7449,6816,10004,9543,13123,12520,3335,2490,2377,1550,1757,1667,10870,10573,10950,9252,11467,12585,11145,10713,11143,10936,9147,9826,11565,10264,12216,11941,2698,2504,11788,10532,1878,1458,8473,9268,10379,10775,13745,12372,13117,13667,16755,18016,11695,10985,10295,9021,12582,11370,16507,16778,2831,2934,12571,13658,10975,10981,10955,10572,10374,9812,10187,10217,12302,12113,2595,2231,11724,12311,12139,11930,13843,14657,13351,14187,9488,8826,14095,14652,11753,11033,14203,15289,2562,2262,17291,17103,11004,13056,14226,15589,12667,11849,10458,9711,11659,11897,10653,10296,11833,10799,3547,3215,10929,13213,12253,13465,3048,2259,14367,13797,17881,17037,3522,3729,14688,16468,3951,8318
5,74.0247,Glycine,8936,8359,10354,8314,7578,6967,6564,6301,9490,9542,15652,13795,10975,9897,9986,9322,1125,878,8932,9291,7339,7899,9442,9181,8145,8117,11294,12707,9020,9384,1466,805,742,859,377,616,11034,11503,5780,5708,8276,8979,9192,8131,8123,10096,7893,8302,10782,9590,8000,8594,1115,938,8591,8215,650,681,10120,9540,8550,8367,6115,6963,8072,7224,13248,12170,8582,8916,7342,7030,10402,11762,13237,14118,1152,917,7196,7952,9567,9365,9656,8090,12510,12479,5748,5999,9378,8014,910,616,6372,7122,8291,8476,6520,6421,6399,5211,6534,7925,6604,5725,6519,6763,14988,13851,1223,1283,10604,8824,6864,6446,11106,10183,8838,10228,10179,9374,6806,7288,8196,9703,10995,10818,827,707,9350,8533,5953,6644,871,610,7056,6884,10455,8111,1433,1007,6294,5892,1176,6237
6,75.0086,Glycolate,929,1114,1134,1467,5441,5065,3222,3653,1332,1176,1511,1698,1467,1277,3051,2420,301,333,1918,1724,2365,1845,1757,2078,1714,1375,1259,905,2453,3437,387,476,212,217,200,278,1271,1567,2519,1966,4402,4184,2252,1997,2075,2139,1209,1263,1369,2053,1850,2101,470,286,2031,1155,124,296,1312,710,1557,1380,2337,2644,2659,2805,2087,1464,1721,2053,1507,1606,1459,1658,1894,1811,322,170,1320,2083,1946,2102,2014,1749,1429,1156,2460,2760,1790,2235,338,236,1843,2304,3602,3795,2408,2909,2291,2236,1964,1355,2717,2300,2286,1890,1480,1505,237,314,1373,1504,2138,2904,1455,1613,2096,2311,1801,1842,2080,2240,2459,2231,1815,1468,290,148,1875,2698,2440,2567,289,157,5321,4888,1881,1272,429,441,2816,3330,488,1860
7,87.0089,Pyruvate,7943,8335,14853,15240,2657,2791,5449,5746,11034,11430,10869,12552,8643,6897,8761,7904,1439,894,9632,9978,9737,10446,7194,7550,7126,7472,7637,6347,8669,9364,1198,870,704,923,546,629,9342,8713,2776,2898,2268,2924,8886,7780,10110,9862,14368,14801,9311,9299,13420,12664,1027,905,9075,9271,783,635,12671,13062,8175,8849,9515,10136,10123,10400,13535,13298,7456,7610,9024,9689,11760,12011,13110,13490,1550,652,7572,7091,8326,8477,7815,9029,7219,6784,2570,2607,9533,8722,1131,854,5990,6912,2408,2345,6414,5630,9171,9175,9241,9115,5829,5733,6860,5984,11821,10998,883,703,8392,6605,10121,9423,9041,9276,13690,11705,10745,10392,4456,4371,10701,10410,12943,12748,1104,961,9757,9354,10478,9235,809,811,3168,3222,8459,7353,1779,663,4888,5048,1687,4162
8,87.0452,C4:0 (Butyric acid),15787,17387,689,465,493,774,680,663,926,401,1108,865,345,734,333,443,528,100,756,365,570,466,351,564,17548,17633,477,806,589,1077,537,500,462,339,458,269,394,671,911,1009,353,338,642,630,662,747,271,312,840,805,524,907,509,521,660,763,339,443,582,589,551,652,341,694,665,310,528,369,883,1089,15549,15239,392,534,515,636,354,244,767,796,748,755,788,1090,562,665,791,1064,728,406,328,261,642,666,664,504,678,635,346,442,14951,15739,781,561,848,678,1153,1190,520,524,539,295,658,737,393,663,804,831,482,830,579,500,271,565,566,653,213,330,607,820,787,619,495,405,583,296,562,511,336,317,386,460,372,651
9,88.0405,Alanine,6783,6419,11009,11580,12687,12508,16446,14598,10136,10065,18831,18133,12983,14549,8764,9674,1674,861,11311,11278,10072,9074,15263,13771,6753,6359,10798,11708,9715,9550,1197,862,829,687,391,367,11721,11343,9588,9441,12206,11950,16951,15853,12528,13278,13783,11930,11609,10652,19106,19207,2075,1579,16388,16791,1152,1153,11067,10201,15279,15934,10456,10322,11600,10141,16180,15681,18435,18410,7969,8047,16693,15820,17460,15993,1536,1485,18056,18075,16368,15044,15247,14937,11825,11239,9650,10159,18911,18536,1363,885,9113,8397,13547,10954,11317,11704,8314,9273,9026,8795,10669,11010,9533,8784,17232,20588,1605,1524,13380,11544,12755,13054,14877,14287,17968,17004,13677,14063,10129,10661,14362,13785,17713,15826,2658,1733,19532,17921,13083,13264,1182,1037,12303,11695,10929,11992,2014,1686,16063,16036,1743,7170
10,89.0245,Lactate,29196,29299,37819,36813,57125,55652,83386,84192,16879,18603,44674,48971,66286,70240,57976,63273,1798,1630,22770,22455,39651,37860,110253,111507,31076,30629,37986,35614,61821,62626,2134,1968,1476,776,1110,955,60673,57700,28415,27094,43992,39709,87028,91089,22912,21504,37469,40652,59106,61907,81296,81598,2629,1902,86054,84099,1869,1474,17883,19208,58511,58636,52684,51596,51943,53485,83395,85115,102216,104232,38796,40806,62460,59194,87068,86082,2541,1539,97665,101670,57071,61370,110352,105824,38365,39165,30596,28797,42654,40927,2926,1823,38443,41476,40988,44447,104364,102378,37215,35168,40577,40415,100369,98223,39181,40340,48183,47498,1850,1621,58796,61019,72267,78341,67730,67827,78554,79800,54025,54070,50868,51126,52291,52495,62945,61766,2128,1294,40329,40161,76914,77213,2200,1871,54220,55017,60451,61109,2307,2127,80300,83500,3814,34589
