Index,Extraction,Mouse,Strain,Diet,Sex,Acetatic acid,Propynoate,Propenoic acid C3:1,C3:0 (Propionic acid),Glycine,Glycolate,Pyruvate,C4:0 (Butyric acid),Alanine,Lactate,Oxobutanoic acid,Aminobutanoic acid (ABA),Hydroxybutanoic acid,Serine,D-Glyceric acid,Catechol,N-Acetylimidazole,Uracil,Pyrroline carboxylic acid,Proline,Fumarate,Ketovaline,Aspartate semialdehyde,Valine; Betaine,Succinate,Threonine,Mercaptopyruvic acid,Phenylacetaldehyde,3-Mercaptolactate,Benzoate,Nicotinamide,Nicotinate,Taurine,5-Amino-4-imidazolecarboxyamide,Oxoproline,Itaconate,4-Methyl-2-oxopentanoate,5-Aminolevulinic acid,Creatine,(Iso)Leucine,Ornithine,Aspartate,Malate,Deoxyribose,Hypoxanthine,Phenyl acetate,Anthranilate,Isoniazid,Phenyl acetate,Carbamoyl phosphate,Cycloheptanecarboxylic acid,Octanoic acid,4-Acetamidobutanoate,Oxoglutarate,Glutamine,"Indole-5,6-quinone",Glutamate,Hydroxyglutarate,Methionine,Pentose,4-Coumaryl alcohol,Perillyl aldehyde,Oxidized dithiothreitol,Xanthine,N1-Methyl-2-pyridone-5-carboxamide,3-Sulfinoalanine,Gentisic acid,Histidine,Phosphoglycolic acid,Indoleacetaldehyde,Oxoadipate,Propylhydroxypentanoic acid,"4,6-Dihydroxyquinoline",Aminoadipate,Deoxyhexose,Phenylalanine,Methylxanthine,Urate,Glycerone phosphate,Glycerol 3-phosphate,Decanoic acid (FA10:0),Phenol sulfate,Formimino-Glu,Acetylornithine,Arginine,Acetyl-Asp,Citrulline,Hexuronic acid; Ascorbate,Glucono-lactone,Hexosamine,7-Aminomethyl-7-carbaguanine,Hexose,Theophylline,Tyrosine,Homovanillic acid,4-Pyridoxate,3-Phosphonooxypyruvate,Phosphoserine,6-Thiourate,Acetyl-Glu,Oxalosuccinic acid,(Iso)Citrate,"5,6-Dihydroxyindole-2-carboxylic acid",Phenylacetylglycine,Caffeine,Methyl-Tyr,Hexonic acid,P-homoserine,Dodecanoic acid (FA12:0),Indolepyruvate,L-Acetylcarnitine,Tryptophan,Xanthurenic acid,"4-(2-Aminophenyl)-2,4-dioxobutanoic acid",Glucaric acid,Sedoheptulose,3-Carbamoyl-2-phenylpropionic acid,Glycerylphosphorylethanolamine,Pantothenic acid,N-Acetylgalactosamine,L-Glutamic acid 5-phosphate,Deoxyuridine,C14:0,Pentose P,Dyspropterin,6-Lactoyltetrahydropterin,Felbamate,Anserine,Palmitaldehyde,Thymidine,Cytidine,Fucose 1-phosphate,Uridine,Biotin,Cytidine,Linamarin,Pyridoxamine 5'-phosphate,Pyridoxine 5'-phosphate,S-Acetyldihydrolipoamide-E,Gamma-Glutamylcysteine,Deoxyadenosine,Deoxyinosine,5-L-Glutamyl-taurine,Palmitoleic acid,Glycerophosphocholine,Hexose-P,Adenosine,Inosine,Stearidonic acid,Alpha-Linolenic acid,C18:2,Guanosine,Xanthosine,Retinal,Vitamin A,Sedoheptulose 1-phosphate,"trans-3,4-Dihydro-3,4-dihydroxy-7,12-dimethylbenz[a]anthracene",Androsterone,5-Aminoimidazole ribonucleotide,"9,10-Epoxyoctadecenoic acid",Sphingosine,All-trans-retinoic acid,N-Acetylgalactosamine 4-sulphate,Eicosapentaenoic acid,16a-Hydroxydehydroisoandrosterone,Arachidonic acid,"8,11,14-Eicosatrienoic acid",Glutathione,dUMP,13-L-Hydroperoxylinoleic acid,4-Hydroxyretinoic acid,Leukotriene A4,Octanoylglucuronide,"5,6-Epoxy-8,11,14-eicosatrienoic acid",CMP,UMP,N-Glycolylneuraminic acid,"2,3-Epoxyaflatoxin B1",C22:6,Famotidine,AICAR,Disaccharide,Cortexolone,AMP,Inosinic acid,S-(Formylmethyl)glutathione,PGH3,Tetrahydrocorticosterone,Prostaglandin E2,3-Methoxy-4-hydroxyphenylglycol glucuronide,Aldosterone,GMP,6-Thioinosine-5'-monophosphate,Dihydrocortisol,Tetrahydrocortisol,Tetrahydrocortisol,Orotidylic acid,Dehydroepiandrosterone sulfate,Prostaglandin G2,14-hydroxy-E4-neuroprostane,7-Dehydrodesmosterol,S-Adenosylhomocysteine,dUDP,Chenodeoxycholic acid,UDP,Cholate,LPA(0:0/16:0),dADP,(7R)-7-(5-Carboxy-5-oxopentanoyl)aminocephalosporinate,Thiamine pyrophosphate,ADP,"3 beta,7 alpha-Dihydroxy-5-cholestenoate","LPA(0:0/18:2(9Z,12Z))",LPA(0:0/18:1(9Z)),GDP,CDP-ethanolamine,Se-Adenosylselenomethionine,"3a,7a,12a-Trihydroxy-5b-cholestanoic acid",Morphine-3-glucuronide,Adenylsuccinic acid,Estriol-16-Glucuronide,Cholylglycine,Cholesterol sulfate,2-(a-Hydroxyethyl)thiamine diphosphate,LysoPC(15:0),CDP-choline,LysoPC(16:1(9Z)),Dihydroneopterin triphosphate,LysoPC(16:0),Taurochenodesoxycholic acid,Triose,ATP,LysoPC(17:0),Taurocholic acid,NPC,LysoPC(18:0),6-Mercaptopurine ribonucleoside triphosphate,C16 Cer,ADP-ribose,C18:1 Cer,dTDP-hexose,C18 Cer,UDP-hexose,Protoporphyrinogen IX,Uridine diphosphate-N-acetylglucosamine,Oxidized glutathione,Cytidine monophosphate N-acetylneuraminic acid,Oxidized glutathione,C22 Cer,CMP-N-glycoloylneuraminate,Luteolin 7-O-[beta-D-glucuronosyl-(1->2)-beta-D-glucuronide],"Phosphatidylinositol-3,4,5-trisphosphate",C24:1 Cer,2-(S-Glutathionyl)acetyl glutathione,NAD (ox),NAD (ox),NADH (red),Stachyose,PA(16:0/18:1(11Z)),PE(16:1(9Z)/P-18:1(11Z)),"PA(18:0/18:2(9Z,12Z))",PE(16:0/P-18:1(11Z)),PC(15:0/P-16:0),"PE(14:0/20:3(5Z,8Z,11Z))","PE(14:0/20:2(11Z,14Z))",PC(15:0/16:1(9Z)),PC(15:0/16:0),"PE(18:3(6Z,9Z,12Z)/P-18:1(11Z))","PC(14:0/18:4(6Z,9Z,12Z,15Z))","PC(14:0/18:3(6Z,9Z,12Z))","PC(14:0/18:3(6Z,9Z,12Z))",PE(18:1(11Z)/P-18:1(11Z)),"PC(14:0/18:2(9Z,12Z))",PC(15:0/P-18:1(11Z)),PC(15:0/P-18:0),"PE(14:0/22:6(4Z,7Z,10Z,13Z,16Z,19Z))","PE(14:0/22:5(4Z,7Z,10Z,13Z,16Z))","PC(18:4(6Z,9Z,12Z,15Z)/P-16:0)","PC(15:0/18:4(6Z,9Z,12Z,15Z))","PC(15:0/18:3(6Z,9Z,12Z))","PC(15:0/18:2(9Z,12Z))","PC(14:1(9Z)/20:5(5Z,8Z,11Z,14Z,17Z))","PE(O-18:1(1Z)/20:4(5Z,8Z,11Z,14Z))","PC(14:0/20:4(5Z,8Z,11Z,14Z))",PE(20:1(11Z)/P-18:1(11Z)),"PC(14:0/20:2(11Z,14Z))","PE(16:1(9Z)/22:6(4Z,7Z,10Z,13Z,16Z,19Z))","PE(16:0/22:6(4Z,7Z,10Z,13Z,16Z,19Z))","PC(15:0/20:5(5Z,8Z,11Z,14Z,17Z))","PC(15:0/20:4(5Z,8Z,11Z,14Z))","PC(15:0/20:2(11Z,14Z))","PC(14:0/22:6(4Z,7Z,10Z,13Z,16Z,19Z))","PE(22:4(7Z,10Z,13Z,16Z)/P-18:1(11Z))","PC(14:0/22:5(4Z,7Z,10Z,13Z,16Z))","PE(22:4(7Z,10Z,13Z,16Z)/P-18:0)","PC(14:0/22:4(7Z,10Z,13Z,16Z))",FAD (ox),"PE(18:3(6Z,9Z,12Z)/22:6(4Z,7Z,10Z,13Z,16Z,19Z))",PC(18:1(9Z)/18:1(9Z)),SM(d18:0/22:1(13Z)),"PE(18:2(9Z,12Z)/22:6(4Z,7Z,10Z,13Z,16Z,19Z))","PE(18:1(11Z)/22:6(4Z,7Z,10Z,13Z,16Z,19Z))","PC(15:0/22:6(4Z,7Z,10Z,13Z,16Z,19Z))","PC(16:0/22:6(4Z,7Z,10Z,13Z,16Z,19Z))","PC(16:0/22:5(4Z,7Z,10Z,13Z,16Z))","PC(16:0/22:4(7Z,10Z,13Z,16Z))","PC(16:0/22:4(7Z,10Z,13Z,16Z))"
001,NH24A,1898,BXD68,CD,F,13829,20856,11451,5523,8936,929,7943,15787,6783,29196,19235,43509,22831,7580,2073,3228,6014,17850,2105,20482,46897,3607,3177,54116,81047,10182,97887,7201,5681,13478,19041,3894,8024128,2028,101237,7908,4547,4715,5344,193059,20852,23375,102402,1415,102174,35646,3446,3555,3384,4510,13934,7530,4110,653497,88201,131311,30226,4198,4269,5295,2443,20442,128989,2055,15470,78748,158737,16566,1897,2988,2872,3247,11964,24613,72922,35193,142619,124454,200400,24200,63099,3011,5611,4807,13530,2938,1046042,7231,1778,156320,46003,8885,4977,5372,44527,23687,3494,33231,4090,8551,14465,3090,237201,4849,241121,5037,3523,31208,2740,13981,13524,3122,59029,39396,12913,4463,5453,319158,23588,6211,4092,1989,1302,8969,114175,7809,63058,13703,1550,4781,1394,14646,4003,5397,3406,6637,372685,8550,192620,16844,457546,8640,182629,1129021,22760,24489,11159,7101,49229,9452,2408,7356,29847,2965,5122,28448,58641,4306,148542,15027,1008294,10394,16990,3569,5059,3005,74183,14893,149819,9254,16652,113930,4431,5228,14130558,5123,1205368,118828,39034,6542,4715,8688,4398,3356,26966,4019,4323,4297,10533,9935,1688,3429,2542,3519,75379,4940,5045,10685,27173,8098,9364,5401,12882,74671,3053,4478,5858,5156,25059,7148,9467,20130,13317,3575,3512,75330,8011,70484,9121,2114,3651,3527,601796,19243,10210,39056,9700668,4279,2366,4241,6916,5430,817,7023,2350,59498,2224,65539,219016,26620,2150,5120,4223,7162,7043,5240,16692,16692,14586,17001,4994,2526,10530,2704,1741,6295,73731,16535,10154,21875,5342,4987,6396,3520,4088,2905,2052,2488,18571,35658,210961,64484,276889,6403,23554,7171,2428,10672,16674,719848,235077,546496,67559,13174,172428,7763,42722,17804,6144,5469,3710,2124,18968,132127,292939,28883,8336,10424,10424,59281,8959,27535,8063,8752,38662,2490,3422
002,NH24A,1898,BXD68,CD,F,13753,22070,11225,5626,8359,1114,8335,17387,6419,29299,18565,45250,58998,6979,1908,4422,6093,17860,2172,20244,45181,3621,2734,58105,79529,10513,101709,7118,5652,14157,20068,4953,8124639,1975,108101,7836,4513,5456,5638,205487,20874,24376,102500,1701,106007,35181,3914,3342,2726,3885,14333,6570,4568,672102,92120,136573,30808,5736,3793,5592,2578,19200,130941,2499,15262,73624,160797,16943,1939,2475,2842,3350,12461,23765,75332,35932,147406,121531,197972,25575,58229,3347,6397,5170,14511,2751,1049391,7411,1620,160205,48240,8668,5302,5312,46367,24918,3853,33034,3498,7610,14141,2747,238219,4715,245606,5161,3664,31734,2344,13861,12316,3291,58162,40310,11609,4381,5426,315637,25040,6536,6666,2252,1037,6999,113463,7634,63174,13480,2149,3884,1691,13295,4962,5492,2501,6116,352090,8540,196222,18224,464194,9485,172182,1049347,22192,22453,13715,6971,48904,8623,2639,8223,29986,2380,5270,27377,53422,4445,134324,13306,1024421,9131,16656,3292,5155,3212,61219,16743,150028,9871,14955,104360,4823,6437,14292328,6294,1210612,123933,36944,7764,4909,8130,5348,3256,27435,3823,3599,4393,9583,9223,1650,3769,2847,2790,74606,5254,5405,9498,26495,9438,9282,5696,12721,75221,2752,3700,5858,5886,24711,7963,9857,21834,14537,3668,4051,76561,10813,66018,10039,1897,3902,3208,611881,18360,10483,36448,9855565,4786,2545,3554,6411,5890,1068,7887,2920,60039,1940,62872,223744,28722,2080,4877,4366,7429,7287,5515,17800,17800,14959,16766,4832,2909,10839,3144,1863,5724,74211,17241,8498,22081,6145,5605,7156,3756,4083,2871,1777,2314,18243,34672,205371,64641,271211,6822,23530,7274,2116,10687,16093,713530,233204,535860,62899,14333,173020,7804,41999,16862,6456,5470,4330,2229,18805,130581,283802,28262,9065,10272,10272,61216,9184,27264,7049,7462,40274,2656,3361
003,NH24A,583,BXD79,HF,F,14740,18405,13095,8643,10354,1134,14853,689,11009,37819,16760,36376,9458,7188,2705,3225,6282,16345,3741,23731,82838,3628,3031,51064,125850,9605,72440,6489,4590,12605,17615,4288,7911260,1938,101881,8289,3571,5601,6994,158425,32980,48663,81254,1020,91645,43600,3716,3686,3499,3670,9840,9913,4916,538070,83690,147296,13247,6975,4067,4313,2516,21570,138943,2178,10539,3743,168133,18174,1900,2136,2465,2872,5994,5547,66185,40162,136478,3018,232993,14696,54453,3125,4419,3103,11412,4348,3031110,7725,1225,138876,44987,10715,4140,4919,41112,45988,4694,38723,2660,5352,6782,3601,195113,2735,116397,5578,3166,27487,2272,15287,14118,2404,190705,73024,21524,4060,3131,126303,29661,3916,3420,3719,1218,3469,295399,8991,69877,25203,2618,10074,1935,4565,4897,4585,2393,4437,408467,14766,103722,24652,432069,3868,78407,1114957,33346,37386,12616,16650,27433,4054,980,6845,18285,7527,4033,30527,22147,5788,288537,36903,1106457,11273,8464,4076,3244,2988,7748,13839,144829,22890,35872,183721,9147,7041,7848871,20707,1250533,97614,48713,6976,9524,8558,3920,2565,39455,3588,7005,10510,15041,12057,1778,3099,3048,3167,74150,5144,3772,7850,37260,15851,14309,5091,5170,74446,3287,6469,13789,6875,28038,5532,5058,9569,9225,1870,5407,88202,4933,177935,9387,3706,4337,8406,456894,7985,6752,103150,6496145,3333,4250,4215,16169,4708,1666,7764,4756,41967,1949,62897,358445,40415,5616,4326,4513,7688,30782,6131,25837,25837,8412,8942,13545,4732,21783,5792,3088,12522,172061,65636,23390,72927,14222,10573,12970,9563,11812,6224,3829,4319,37598,12988,676322,231502,464995,16919,110931,25927,4089,17284,40296,1724454,1212431,1840785,167221,27075,224861,19773,136601,35393,4389,6840,8610,5314,25412,428034,500793,35628,17893,20042,18026,308492,16720,72315,11496,12232,88049,3347,4974
004,NH24A,583,BXD79,HF,F,16495,19448,13445,9717,8314,1467,15240,465,11580,36813,16667,36693,8582,6733,2621,3284,6095,17794,3959,23015,86068,3304,2980,52679,134026,9717,72347,6487,4653,14987,19432,4782,7917608,2224,100990,9667,3516,5741,6533,151741,35714,47865,78921,1030,86392,43716,4363,4690,3315,4097,9603,10450,6130,526547,83929,149672,13109,6761,2522,3767,2286,18266,141398,1821,10667,3738,172017,18582,1630,2678,2604,3221,5718,7171,66390,39590,141472,2734,241370,13298,48077,2931,4355,3289,10110,3814,2937500,8095,1600,136293,43644,10089,4178,4722,42381,44542,4316,39785,2978,5717,5690,3032,194877,2616,113202,5613,3899,29104,2287,15849,15756,2599,188969,73987,22462,3653,2888,117838,27614,4059,2705,4617,1263,2757,296086,9198,67270,28495,2166,10504,2003,5017,4708,5335,2655,3783,401837,14239,102951,24787,443347,3823,73954,1085406,31010,37502,10577,17506,29994,3769,851,6825,17166,7292,3063,32338,23303,5514,278311,38293,1106109,11935,7933,3318,2627,2884,6676,14213,142561,25234,36707,180071,9460,8123,7958022,22099,1234776,99136,44237,6036,7552,8339,3484,2715,40622,3702,7172,10974,14970,12881,1359,2803,2908,3026,73220,5362,3604,9106,37262,14443,14314,5549,6049,76652,3242,5470,14702,6018,24345,4515,4681,8705,10098,1815,4734,83683,5235,184706,10113,3680,4342,8047,460969,7446,8015,104163,6574867,3113,4497,4363,15897,4891,1346,5989,3826,38040,2022,63153,361200,42117,5256,4304,4150,6704,31408,6381,26561,26561,8699,8734,13098,4528,21607,5537,2687,13786,177630,65656,24761,73828,14859,10062,12696,9944,10916,6364,3899,4168,38495,13147,692452,239453,482014,15190,114974,26401,4387,17760,40856,1746672,1249360,1865369,169682,27138,227989,19089,136495,35792,4697,6826,9217,4632,27354,443543,511630,37379,18337,19656,17272,314598,17036,72499,12054,12220,91504,2526,4643
005,NH24B,824,BXD79,CD,F,12715,23486,11418,13421,7578,5441,2657,493,12687,57125,22270,26312,12532,7751,53064,4664,8459,19380,1901,25546,18560,3425,7156,62335,195927,10190,139911,7918,7192,13551,21197,4448,7711723,1912,143627,5028,3481,8587,5555,160892,27856,34582,117263,1403,348493,44429,4374,3585,3465,3694,11330,16966,5187,617248,84857,90702,11750,4515,5450,6482,3213,37268,107902,2998,90750,4876,146418,27513,3019,2554,2245,3207,9575,8763,53630,39529,180992,3804,309892,15583,45735,5655,8552,2987,7479,2692,31905,9156,2763,200433,35261,10319,4920,7037,28757,82613,3344,24054,4639,3787,20870,3475,567514,3960,134891,4409,4735,22964,2132,13751,12126,5975,215763,112160,17328,7920,5062,112669,41497,11873,7384,1888,1144,3048,257201,15446,90590,23959,7228,8141,5836,4106,5134,12544,3960,5685,359210,14353,201759,20890,613080,27867,381195,2508863,26346,38395,13130,19375,50033,2722,1971,18876,25505,6378,5092,32204,171403,7685,365667,31115,54549,7650,17476,5640,6099,3483,125556,15645,191467,27353,26578,342217,8529,7893,10693746,8965,1195950,186789,6659,24010,8076,20938,2696,3545,28818,4197,9622,10378,14995,5283,1316,9623,5621,2584,80691,7284,5894,10331,179772,20815,9785,6161,8841,71806,3072,7759,15580,3493,26491,5528,5855,13735,10320,2057,11562,114816,5241,229018,7861,4369,3897,9529,791264,9167,7679,93897,11012855,4476,4703,4492,13363,5953,854,8875,2526,30100,2605,78677,304360,34098,4060,4284,2203,7315,23868,4642,24156,24156,23777,8598,11756,5460,22983,4816,2350,34166,516897,83942,24340,82253,16647,15610,16344,7547,16591,5262,2989,5147,66608,15041,963522,446119,1008910,19303,78562,32429,3501,30285,60249,2954616,1332374,2574038,166744,42673,381903,24467,106173,50296,6068,13175,9403,5483,55025,756262,976497,59320,17639,20145,17613,280350,22869,84738,15211,15376,188242,2694,4330
006,NH24B,824,BXD79,CD,F,13052,22323,11558,12407,6967,5065,2791,774,12508,55652,23714,26463,13116,8065,52469,4702,8200,18555,1838,26140,19269,3697,7062,61727,194948,11056,130855,8492,7133,13000,19590,5187,7591247,1714,140822,5939,3794,8435,4857,162710,30857,34338,108983,1180,345728,47020,4920,3732,4210,3293,12431,16211,5269,617148,87215,87517,10488,4595,5138,5617,3187,38054,107514,2525,90629,5054,147762,28510,2246,3234,1893,3738,9013,9721,56020,39312,180082,4068,307278,13607,47910,5537,7478,2844,6241,2705,29681,8796,2732,191196,34095,9987,4879,5606,27888,82494,3658,22464,4384,3181,22320,3112,563595,4101,134609,4225,4537,22909,2907,13255,11074,5973,206641,112810,16980,8013,5822,114058,40323,12979,6428,2174,1309,3591,253850,15054,92852,24274,7128,8971,5937,5046,4431,13211,4206,6329,350874,12918,194734,21089,610655,27200,376275,2543339,25112,39576,13648,19415,50425,3322,1632,19313,25033,6347,4941,30550,177105,8389,372117,30372,55741,9520,17097,5884,6225,3143,128028,13949,186855,26582,28999,344155,8745,8247,10666600,8713,1178917,193358,6801,24873,7977,20826,2750,4225,27888,4636,9178,9657,15324,4955,1525,7708,5823,2545,81925,6633,6317,9975,175194,20539,10820,6209,10615,73660,3800,6943,14296,3482,26335,5196,6134,13763,9949,2370,11131,120062,5156,234355,8152,4105,4216,11257,801002,10263,8520,93899,10955599,4849,4802,4302,13358,6339,1071,8886,2943,27807,2691,81251,306821,36454,4419,4449,2296,7308,26591,4177,23523,23523,24269,8607,12167,5300,23559,5020,2314,34606,543756,87329,23751,86949,17826,15966,16858,8184,17157,5569,2749,5701,68431,14545,992128,459745,1033958,19040,79918,34992,3803,30291,62226,3068080,1391603,2662974,163818,43182,397552,23146,111146,49962,5937,12854,9633,5865,58701,773594,1009848,58995,18696,21519,18615,287355,23835,88379,13601,13601,195136,2663,3670
007,NH24B,235,BXD60,CD,F,15634,23069,14470,14662,6564,3222,5449,680,16446,83386,25032,25472,13006,5365,11846,4412,7501,16804,1829,18539,30886,3506,3680,37512,238206,7956,170096,10147,20063,12276,26510,5291,8046806,2916,127449,12386,4709,4378,4413,114356,19174,38533,134282,1940,221803,50844,4367,4179,3364,4472,14521,10725,32355,648303,90198,104578,24915,4227,5499,7516,3013,34862,113724,2131,19356,5626,111122,41803,1804,3491,2074,3851,6185,7783,47339,37910,186143,4221,270175,16910,75528,2077,5370,3113,4825,1674,319450,6442,2114,215150,30709,10503,6087,9122,36540,28200,3113,33631,2920,4629,14348,2786,219327,2957,143510,3599,3877,25620,2815,12395,13446,5315,144279,36394,19483,4715,3814,134064,34206,4265,4002,2706,1232,3134,244703,9843,70329,24630,3529,10045,2132,3805,3129,3744,3215,4574,462533,13733,212558,20980,628157,10730,267292,2190114,27141,30554,11341,13982,43505,14292,1752,13104,31569,5188,4791,37070,85724,4843,220830,34009,97380,9138,20359,4486,6495,3590,119422,13003,108928,32801,47304,198788,12861,9490,10449309,34749,874874,138445,5276,8221,4413,9643,2651,2812,21040,4293,4444,5344,9092,3990,1141,8194,3688,3812,74642,4330,3254,8858,53517,20088,8774,2041,7746,80465,3531,8822,15335,2891,13922,4661,7682,10584,8798,2239,9166,59967,4794,169327,6625,2980,3684,7898,1523019,12282,8357,93019,12624809,6207,3780,3816,7204,10154,906,8689,2106,61175,2348,80811,597728,61180,2010,6593,2448,7834,10370,5497,34236,37683,25680,10908,7909,3504,16062,3442,1747,8975,82830,22011,14740,45326,10421,8757,9252,3521,6051,3107,2037,3164,27398,6530,299480,135763,398164,9901,30759,12808,2585,16944,28897,1151598,577716,911668,100361,22738,237290,14820,69302,28800,7227,6099,6956,2759,23987,380451,432584,40541,13973,16006,13679,97495,16580,62892,9939,9939,47771,2728,3618
008,NH24B,235,BXD60,CD,F,16157,21297,15135,15374,6301,3653,5746,663,14598,84192,25608,23975,12438,5699,11368,5364,7399,16265,1635,17156,29658,3464,3630,37145,227493,7303,165393,9842,20172,14729,24809,3784,7988740,2500,125597,13047,3874,3497,3748,110953,19273,37971,127085,1622,215737,47728,4914,3778,3544,4213,12967,10155,34556,640289,95143,104399,25016,4518,4724,7445,3031,34156,110417,2131,18653,5287,109196,40943,1488,2804,2260,4014,6168,8079,44833,38225,183001,5365,271344,15223,73662,3348,5863,2845,4567,1822,316108,7914,2090,214725,30803,10614,5853,8450,37513,26340,2675,31746,3211,4176,15380,2945,212378,3241,144070,3651,3871,24507,2299,12934,14102,5166,144711,39008,19014,3705,3357,130860,35537,3986,3285,2508,975,3181,244625,9848,70247,23787,4610,9263,2082,4331,4085,3633,2672,5653,434833,13971,210092,20281,631578,10836,244985,2006294,28792,30068,11945,15230,41357,15791,1879,13191,28391,4666,4537,36994,73754,6129,207736,30941,94848,8279,19060,5150,6896,3182,109761,13009,112594,32567,47557,184218,12984,9184,10402357,35901,870762,134001,5235,7056,3940,9100,2775,3389,19806,4017,4812,5485,8839,3915,1221,8264,3710,3765,75066,4624,3271,8701,53894,18248,7748,2641,7791,84120,3155,7138,15044,2896,14893,5075,7670,8740,9853,2814,9683,58026,6087,163296,6115,3599,3573,7947,1531006,12426,8468,90114,12541403,5568,3665,3564,6798,9534,773,8911,1979,60450,2827,78780,596525,64360,2278,6264,2016,7598,10223,4712,34316,37743,27067,10094,7938,3446,16611,3521,2043,8179,83475,24091,15420,45016,9426,8345,9202,3442,6681,3061,1795,3133,28493,7105,305541,137016,404126,10272,29145,12845,2633,15789,28602,1156650,590713,906435,103769,22639,228697,14205,68181,30341,6803,6654,6214,2697,24405,384137,435853,39283,14941,15358,13365,94904,16266,61795,10416,10781,48804,2531,4072
009,NH24B,831,BXD79,CD,F,10830,10118,10520,9214,9490,1332,11034,926,10136,16879,17080,35683,7119,5386,2119,3048,6386,23000,1516,29431,67218,3514,3977,55855,134611,8700,26937,8599,2606,12602,18559,5823,8842295,1936,127585,16976,3791,5522,6355,186109,31233,70877,109294,1099,103123,46302,4690,3536,3171,3835,11969,8707,19643,609120,89324,165777,20180,8126,2711,6519,2706,11455,183312,2117,4457,3336,130476,18191,2844,3119,2814,5366,5543,6300,72834,35152,134166,2897,145809,16345,35911,2356,5088,2537,7431,3466,1992423,9390,2254,152975,47942,6289,3069,3733,42165,37857,2200,42632,1951,3815,17703,3013,289565,2129,225447,4932,2455,36376,2314,16117,17606,1997,91241,92938,12323,4448,3490,168581,21231,4103,2857,3480,1038,4039,141119,12327,92135,16183,2572,3444,2249,4920,5589,1823,2591,6741,362995,9629,38088,29747,812861,23013,388260,3880312,71959,25624,16359,28735,9409,4939,2517,6002,28923,9545,6011,41242,176715,12777,704159,47780,1293983,10510,15504,5188,4700,2988,12850,23530,215427,39746,23834,353256,6191,7887,14807641,12886,1891031,121344,57759,8297,4508,8533,10913,3362,71153,6114,5845,5226,7232,11730,1421,5268,4310,3437,96994,5765,4688,9281,67838,19871,16294,1407,12064,66647,3397,8023,15231,6929,29611,8004,10323,20201,17214,2480,7075,41572,8849,279960,13789,4417,3099,11428,1186430,9851,7299,179851,17184228,7971,6749,4439,11098,8623,1059,10528,1939,61398,3983,96143,230038,29597,2411,6164,2977,11671,8164,4937,14018,14085,6470,4774,7456,4324,17522,4715,2009,12457,175727,33126,21546,62103,13063,10837,12370,4782,8158,3916,2711,3650,25903,20636,431243,153881,520881,12220,47753,18228,3319,17353,18056,990397,528992,1123250,153991,19375,228323,13614,60658,31369,7304,6389,8499,3089,22059,218119,363688,31606,14540,16399,14569,161769,13115,53217,10666,10924,57844,2606,3300
010,NH24B,831,BXD79,CD,F,13093,10543,10597,9028,9542,1176,11430,401,10065,18603,16700,35768,8343,4081,2560,3773,6758,22768,1642,28704,69489,3102,3149,56338,132876,9428,26382,6184,3657,13432,20218,5149,8715390,2051,122800,16493,3567,5058,5424,193153,31257,67007,107810,1521,96294,44569,4584,3774,3271,4672,12656,8079,21441,609211,88894,168080,20466,7893,2986,7183,3159,9709,177978,2198,5127,3028,132324,16710,2371,3399,2981,4888,5701,5397,74301,36204,128298,2467,142183,18561,36906,2928,4898,2945,6658,3632,2072497,9901,2877,150907,47083,5928,3150,3058,42968,39476,2029,42495,2614,3829,16981,3163,286982,1819,218613,4298,2755,34511,2172,15407,18030,1936,92280,95261,12568,3812,3561,165062,21581,3294,2875,2749,1039,4029,141159,12147,93151,16407,2443,3783,1765,4436,5086,1579,3235,5600,333296,10490,39606,30208,796803,23826,360149,3580737,66594,25865,15445,28072,9510,4801,3084,5280,27735,8202,6601,39123,165730,11672,649309,43284,1310539,9864,14535,5692,4642,3616,11757,22091,212131,41563,24775,330641,7222,8577,14628468,12494,1880053,122878,55890,8271,4983,9183,10259,3959,72193,5622,5384,5716,7093,11387,1505,4571,4542,4184,97787,5791,4925,8821,69210,19589,17475,1304,11380,68259,3637,7524,14764,7034,31121,9658,10334,20531,17693,2471,6093,39523,8923,251736,14175,4388,3253,10566,1136367,10745,5168,169122,17002376,8462,6317,3673,10366,8190,956,9116,1693,64394,3788,98893,232610,29185,2456,6420,3142,10559,7470,5686,12949,13669,7100,5142,7926,4427,17759,4547,1991,12741,174363,29720,20935,61529,12424,10687,12515,4945,8105,4012,3107,3438,24670,20214,418088,153817,501615,11687,49763,17439,3319,18657,18865,966915,518948,1089934,152278,18996,225623,11964,60584,29949,6866,6175,7622,3549,21584,215348,352997,31248,14634,15758,14804,162181,13048,53922,9805,10052,58239,2605,3594
